text,intent,shape
FIND AREA OF RECTANGLE,calculate_area,rectangle
area circle?,calculate_area,circle
how much space does a rectangle cover please,calculate_area,rectangle
compute area for prism?,calculate_area,prism
can you how much space does a ellipse cover,calculate_area,ellipse
can you get the area of trapezoid,calculate_area,trapezoid
can you compute area for parallelogram,calculate_area,parallelogram
I NEED THE AREA OF A CIRCLE,calculate_area,circle
how big is a sphere please,calculate_area,sphere
i want to how big is a cylinder,calculate_area,cylinder
What is the area of a prism,calculate_area,prism
can you what is the area of a trapezoid,calculate_area,trapezoid
calculate  triangle  area,calculate_area,triangle
find the area please,calculate_area,
i want to calculate pyramid area,calculate_area,pyramid
can you calculate the area of a torus,calculate_area,torus
can you what's the area of this square,calculate_area,square
calculate  prism  area,calculate_area,prism
Calculate the area of a polygon,calculate_area,polygon
what is the area of a triangle please,calculate_area,triangle
please what's the area of this triangle,calculate_area,triangle
find the area?,calculate_area,
can you find area of parallelogram,calculate_area,parallelogram
how much space does a pyramid cover,calculate_area,pyramid
find area of triangle please,calculate_area,triangle
torus area please,calculate_area,torus
can you i need the area of a torus,calculate_area,torus
i want to calculate the area of a sphere,calculate_area,sphere
please what's the area of this cone,calculate_area,cone
Compute area for trapezoid,calculate_area,trapezoid
calculate  cone  area,calculate_area,cone
i want to what's the area of this cylinder,calculate_area,cylinder
What is the area of a parallelogram,calculate_area,parallelogram
i need the area of a cylinder,calculate_area,cylinder
i want to tell me the area of sphere,calculate_area,sphere
please i need the area of a rectangle,calculate_area,rectangle
i want to how much space does a ellipse cover,calculate_area,ellipse
get the area of square?,calculate_area,square
can you area of a polygon with 83.9 cm,calculate_area,polygon
get  the  area  of  cylinder,calculate_area,cylinder
find the area?,calculate_area,
what is the area of a parallelogram,calculate_area,parallelogram
can you area rectangular prism,calculate_area,rectangular_prism
calculate the area of a sphere,calculate_area,sphere
calculate  pyramid  area,calculate_area,pyramid
i want to tell me the area of cylinder,calculate_area,cylinder
can you how much space does a torus cover,calculate_area,torus
calculate rectangle area?,calculate_area,rectangle
please calculate pyramid area,calculate_area,pyramid
AREA OF A CIRCLE WITH 0.9 UNITS,calculate_area,circle
i want to how big is a parallelogram,calculate_area,parallelogram
get the area of circle?,calculate_area,circle
can you how big is a triangle,calculate_area,triangle
find area of rectangular prism?,calculate_area,rectangular_prism
i want to find area of torus,calculate_area,torus
What is the area of a triangle,calculate_area,triangle
i need the area of a cone,calculate_area,cone
what's the area of this square?,calculate_area,square
i want to calculate the area of a rectangle,calculate_area,rectangle
calculate  the  area  of  a  cylinder,calculate_area,cylinder
can you compute area for torus,calculate_area,torus
Calculate the area of a pyramid,calculate_area,pyramid
Calculate trapezoid area,calculate_area,trapezoid
please calculate the area of a sphere,calculate_area,sphere
what's the area of this polygon,calculate_area,polygon
TELL ME THE AREA OF SPHERE,calculate_area,sphere
GET THE AREA OF RIGHT TRIANGLE,calculate_area,right_triangle
how much space does a sphere cover please,calculate_area,sphere
Tell me the area of polygon,calculate_area,polygon
Area of a square with 13.2 meters,calculate_area,square
calculate the area of a pyramid please,calculate_area,pyramid
can you what's the area of this rectangle,calculate_area,rectangle
trapezoid  area  please,calculate_area,trapezoid
COMPUTE AREA FOR TRIANGLE,calculate_area,triangle
find area of trapezoid please,calculate_area,trapezoid
i want to how much space does a rectangle cover,calculate_area,rectangle
What is the area of a cone,calculate_area,cone
can you calculate the area of a cube,calculate_area,cube
please calculate circle area,calculate_area,circle
AREA CUBE,calculate_area,cube
ellipse area please?,calculate_area,ellipse
please i need the area of a polygon,calculate_area,polygon
how big is a right triangle,calculate_area,right_triangle
how big is a right triangle?,calculate_area,right_triangle
area of a cylinder with 68.2 cm?,calculate_area,cylinder
i want to calculate the area of a rectangular prism,calculate_area,rectangular_prism
CALCULATE TRAPEZOID AREA,calculate_area,trapezoid
please how big is a rectangle,calculate_area,rectangle
can you what is the area of a rectangular prism,calculate_area,rectangular_prism
sphere area please please,calculate_area,sphere
please what is the area of a trapezoid,calculate_area,trapezoid
area circle please,calculate_area,circle
cube  area  please,calculate_area,cube
please get the area of rectangular prism,calculate_area,rectangular_prism
i want to what is the area of a ellipse,calculate_area,ellipse
can you compute area for rectangle,calculate_area,rectangle
area of a sphere with 13.2 inches please,calculate_area,sphere
get the area of cylinder,calculate_area,cylinder
i want to compute area for ellipse,calculate_area,ellipse
please how big is a cone,calculate_area,cone
find the area,calculate_area,
what's the area of this rectangular prism?,calculate_area,rectangular_prism
area  cylinder,calculate_area,cylinder
i want to compute area for polygon,calculate_area,polygon
cylinder  area  please,calculate_area,cylinder
can you calculate the area of a cube,calculate_area,cube
Torus area please,calculate_area,torus
can you find the area,calculate_area,
can you tell me the area of torus,calculate_area,torus
how big is a right triangle,calculate_area,right_triangle
SPHERE AREA PLEASE,calculate_area,sphere
calculate prism area?,calculate_area,prism
find the area?,calculate_area,
can you area of a sphere with length 6.8,calculate_area,sphere
i want to circle area please,calculate_area,circle
can you parallelogram area please,calculate_area,parallelogram
can you area of a circle with 66.5 inches,calculate_area,circle
i want to get the area of right triangle,calculate_area,right_triangle
get the area of ellipse,calculate_area,ellipse
can you what is the area of a rectangle,calculate_area,rectangle
Area of a torus with 41.8 units,calculate_area,torus
What is the area of a sphere,calculate_area,sphere
compute area for cylinder,calculate_area,cylinder
please get the area of torus,calculate_area,torus
How big is a triangle,calculate_area,triangle
Find the area,calculate_area,
can you tell me the area of rectangle,calculate_area,rectangle
i need the area of a right triangle?,calculate_area,right_triangle
WHAT IS THE AREA OF A TRIANGLE,calculate_area,triangle
How much space does a circle cover,calculate_area,circle
ellipse  area  please,calculate_area,ellipse
calculate  triangle  area,calculate_area,triangle
How big is a cylinder,calculate_area,cylinder
can you how much space does a rectangular prism cover,calculate_area,rectangular_prism
i want to find area of circle,calculate_area,circle
calculate right triangle area please,calculate_area,right_triangle
can you trapezoid area please,calculate_area,trapezoid
tell me the area of cube?,calculate_area,cube
what's the area of this square?,calculate_area,square
Area pyramid,calculate_area,pyramid
What is the area of a triangle,calculate_area,triangle
triangle area please,calculate_area,triangle
calculate the area of a torus please,calculate_area,torus
how big is a rectangular prism?,calculate_area,rectangular_prism
How big is a polygon,calculate_area,polygon
calculate the area of a polygon,calculate_area,polygon
can you how big is a torus,calculate_area,torus
area of a ellipse with r = 30.0,calculate_area,ellipse
i want to find area of polygon,calculate_area,polygon
tell me the area of prism?,calculate_area,prism
what is the area of a right triangle,calculate_area,right_triangle
find the area please,calculate_area,
can you get the area of right triangle,calculate_area,right_triangle
can you how big is a torus,calculate_area,torus
what's  the  area  of  this  square,calculate_area,square
area  of  a  rectangle  with  radius  of  20.0,calculate_area,rectangle
SPHERE AREA PLEASE,calculate_area,sphere
calculate  the  area  of  a  parallelogram,calculate_area,parallelogram
how  much  space  does  a  square  cover,calculate_area,square
find the area,calculate_area,
how  big  is  a  torus,calculate_area,torus
tell  me  the  area  of  cube,calculate_area,cube
can you how big is a polygon,calculate_area,polygon
how much space does a cube cover?,calculate_area,cube
compute area for cone?,calculate_area,cone
calculate the area of a parallelogram please,calculate_area,parallelogram
area of a rectangular prism with 51.4 inches please,calculate_area,rectangular_prism
I need the area of a prism,calculate_area,prism
what's  the  area  of  this  pyramid,calculate_area,pyramid
please calculate the area of a prism,calculate_area,prism
i need the area of a square?,calculate_area,square
TELL ME THE AREA OF TRAPEZOID,calculate_area,trapezoid
get  the  area  of  parallelogram,calculate_area,parallelogram
FIND AREA OF TRAPEZOID,calculate_area,trapezoid
tell me the area of trapezoid,calculate_area,trapezoid
parallelogram area please?,calculate_area,parallelogram
get the area of trapezoid,calculate_area,trapezoid
what is the area of a triangle?,calculate_area,triangle
i want to find area of square,calculate_area,square
please area ellipse,calculate_area,ellipse
calculate torus area,calculate_area,torus
WHAT IS THE AREA OF A TRIANGLE,calculate_area,triangle
How much space does a cone cover,calculate_area,cone
area  of  a  ellipse  with  length  12.2,calculate_area,ellipse
area of a sphere with radius of 68.8 please,calculate_area,sphere
compute area for rectangle please,calculate_area,rectangle
find area of sphere,calculate_area,sphere
how big is a cube please,calculate_area,cube
please how big is a trapezoid,calculate_area,trapezoid
Find the area,calculate_area,
get the area of sphere please,calculate_area,sphere
i want to what is the area of a pyramid,calculate_area,pyramid
tell  me  the  area  of  rectangle,calculate_area,rectangle
AREA OF A RECTANGLE WITH WIDTH 2.4,calculate_area,rectangle
can you how big is a cube,calculate_area,cube
i want to how much space does a cone cover,calculate_area,cone
How big is a cylinder,calculate_area,cylinder
how much space does a triangle cover please,calculate_area,triangle
calculate ellipse area?,calculate_area,ellipse
can you area sphere,calculate_area,sphere
AREA ELLIPSE,calculate_area,ellipse
area right triangle,calculate_area,right_triangle
please calculate square area,calculate_area,square
COMPUTE AREA FOR SQUARE,calculate_area,square
what is the area of a sphere,calculate_area,sphere
rectangle area please?,calculate_area,rectangle
cube area please?,calculate_area,cube
please how much space does a torus cover,calculate_area,torus
can you what is the area of a pyramid,calculate_area,pyramid
i want to how much space does a right triangle cover,calculate_area,right_triangle
find area of torus?,calculate_area,torus
i want to ellipse area please,calculate_area,ellipse
how big is a polygon?,calculate_area,polygon
please how big is a trapezoid,calculate_area,trapezoid
area rectangular prism?,calculate_area,rectangular_prism
compute area for cylinder,calculate_area,cylinder
can you find the area,calculate_area,
find  the  area,calculate_area,
calculate the area of a cylinder?,calculate_area,cylinder
CALCULATE THE AREA OF A RIGHT TRIANGLE,calculate_area,right_triangle
What is the area of a polygon,calculate_area,polygon
how big is a ellipse?,calculate_area,ellipse
please tell me the area of pyramid,calculate_area,pyramid
can you find the area,calculate_area,
i want to i need the area of a cylinder,calculate_area,cylinder
i want to calculate the area of a square,calculate_area,square
please how much space does a rectangular prism cover,calculate_area,rectangular_prism
calculate rectangle area please,calculate_area,rectangle
tell me the area of right triangle please,calculate_area,right_triangle
cube area please,calculate_area,cube
can you area right triangle,calculate_area,right_triangle
find  area  of  triangle,calculate_area,triangle
calculate the area of a square?,calculate_area,square
get the area of ellipse,calculate_area,ellipse
i want to tell me the area of square,calculate_area,square
What's the area of this cylinder,calculate_area,cylinder
please area cube,calculate_area,cube
How much space does a torus cover,calculate_area,torus
area of a circle with width 27.1,calculate_area,circle
how big is a circle please,calculate_area,circle
Area rectangle,calculate_area,rectangle
can you what's the area of this right triangle,calculate_area,right_triangle
please area of a cylinder with side length 65.2,calculate_area,cylinder
find area of triangle please,calculate_area,triangle
i want to find the area,calculate_area,
I NEED THE AREA OF A PYRAMID,calculate_area,pyramid
i want to find the area,calculate_area,
find  the  area,calculate_area,
torus area please,calculate_area,torus
area triangle please,calculate_area,triangle
i want to calculate the area of a parallelogram,calculate_area,parallelogram
what's  the  area  of  this  circle,calculate_area,circle
WHAT'S THE AREA OF THIS CYLINDER,calculate_area,cylinder
i want to how big is a cylinder,calculate_area,cylinder
can you i need the area of a prism,calculate_area,prism
can you tell me the area of sphere,calculate_area,sphere
i want to compute area for circle,calculate_area,circle
CALCULATE POLYGON AREA,calculate_area,polygon
can you what's the area of this triangle,calculate_area,triangle
tell  me  the  area  of  right  triangle,calculate_area,right_triangle
area  pyramid,calculate_area,pyramid
please area of a cylinder with side length 59.8,calculate_area,cylinder
tell me the area of cone please,calculate_area,cone
tell  me  the  area  of  trapezoid,calculate_area,trapezoid
HOW BIG IS A POLYGON,calculate_area,polygon
please area circle,calculate_area,circle
what  is  the  area  of  a  rectangle,calculate_area,rectangle
can you area of a trapezoid with side length 79.1,calculate_area,trapezoid
find area of cube please,calculate_area,cube
find the area,calculate_area,
i want to what's the area of this triangle,calculate_area,triangle
find the area please,calculate_area,
tell me the area of parallelogram,calculate_area,parallelogram
compute area for sphere?,calculate_area,sphere
i need the area of a cube,calculate_area,cube
area of a trapezoid with radius of 16.1?,calculate_area,trapezoid
can you rectangle area please,calculate_area,rectangle
i want to compute area for polygon,calculate_area,polygon
calculate sphere area?,calculate_area,sphere
please get the area of cylinder,calculate_area,cylinder
please compute area for trapezoid,calculate_area,trapezoid
can you tell me the area of triangle,calculate_area,triangle
please compute area for triangle,calculate_area,triangle
find the area please,calculate_area,
how  much  space  does  a  pyramid  cover,calculate_area,pyramid
i  need  the  area  of  a  prism,calculate_area,prism
i want to calculate sphere area,calculate_area,sphere
tell me the area of square please,calculate_area,square
i need the area of a circle please,calculate_area,circle
i want to i need the area of a right triangle,calculate_area,right_triangle
get the area of circle please,calculate_area,circle
Tell me the area of cone,calculate_area,cone
compute area for cube?,calculate_area,cube
get the area of right triangle,calculate_area,right_triangle
area cone,calculate_area,cone
how  big  is  a  triangle,calculate_area,triangle
AREA OF A CYLINDER WITH 23.8 METERS,calculate_area,cylinder
i want to how big is a rectangular prism,calculate_area,rectangular_prism
please calculate torus area,calculate_area,torus
how  much  space  does  a  trapezoid  cover,calculate_area,trapezoid
What's the area of this circle,calculate_area,circle
i want to how big is a triangle,calculate_area,triangle
area of a cube with 0.8 cm?,calculate_area,cube
get the area of prism please,calculate_area,prism
Find area of rectangular prism,calculate_area,rectangular_prism
how  big  is  a  cylinder,calculate_area,cylinder
Area of a prism with 6.3 cm,calculate_area,prism
i want to find the area,calculate_area,
calculate the area of a cylinder?,calculate_area,cylinder
what is the area of a sphere,calculate_area,sphere
area torus please,calculate_area,torus
area  of  a  prism  with  5.4  inches,calculate_area,prism
calculate  sphere  area,calculate_area,sphere
get the area of trapezoid please,calculate_area,trapezoid
please square area please,calculate_area,square
I need the area of a pyramid,calculate_area,pyramid
i want to find area of sphere,calculate_area,sphere
I NEED THE AREA OF A PRISM,calculate_area,prism
COMPUTE AREA FOR PARALLELOGRAM,calculate_area,parallelogram
can you tell me the area of pyramid,calculate_area,pyramid
find the area?,calculate_area,
get the area of rectangle,calculate_area,rectangle
Calculate the area of a parallelogram,calculate_area,parallelogram
what's the area of this polygon please,calculate_area,polygon
get  the  area  of  right  triangle,calculate_area,right_triangle
find the area,calculate_area,
please how big is a torus,calculate_area,torus
compute area for cylinder please,calculate_area,cylinder
find the area?,calculate_area,
find the area?,calculate_area,
Get the area of square,calculate_area,square
calculate cone area?,calculate_area,cone
COMPUTE AREA FOR RECTANGLE,calculate_area,rectangle
please get the area of rectangle,calculate_area,rectangle
tell me the area of rectangle,calculate_area,rectangle
can you prism area please,calculate_area,prism
can you calculate pyramid area,calculate_area,pyramid
Find area of rectangle,calculate_area,rectangle
get  the  area  of  right  triangle,calculate_area,right_triangle
Find area of right triangle,calculate_area,right_triangle
sphere area please?,calculate_area,sphere
can you find area of trapezoid,calculate_area,trapezoid
i want to what is the area of a torus,calculate_area,torus
Find area of trapezoid,calculate_area,trapezoid
can you calculate the area of a prism,calculate_area,prism
GET THE AREA OF CYLINDER,calculate_area,cylinder
what's the area of this pyramid,calculate_area,pyramid
square area please?,calculate_area,square
find area of sphere?,calculate_area,sphere
can you find area of rectangle,calculate_area,rectangle
find  area  of  sphere,calculate_area,sphere
i need the area of a right triangle please,calculate_area,right_triangle
please calculate the area of a torus,calculate_area,torus
please calculate the area of a polygon,calculate_area,polygon
can you find area of parallelogram,calculate_area,parallelogram
How much space does a triangle cover,calculate_area,triangle
compute area for square,calculate_area,square
what is the area of a trapezoid?,calculate_area,trapezoid
please find area of trapezoid,calculate_area,trapezoid
i want to i need the area of a prism,calculate_area,prism
how much space does a triangle cover please,calculate_area,triangle
i want to find the area,calculate_area,
can you tell me the area of torus,calculate_area,torus
can you i need the area of a sphere,calculate_area,sphere
can you find area of sphere,calculate_area,sphere
can you calculate triangle area,calculate_area,triangle
find the area please,calculate_area,
what is the area of a rectangle?,calculate_area,rectangle
can you i need the area of a rectangular prism,calculate_area,rectangular_prism
How much space does a cylinder cover,calculate_area,cylinder
find area of polygon?,calculate_area,polygon
area torus?,calculate_area,torus
can you calculate rectangular prism area,calculate_area,rectangular_prism
tell me the area of rectangular prism please,calculate_area,rectangular_prism
compute  area  for  torus,calculate_area,torus
AREA TORUS,calculate_area,torus
TELL ME THE AREA OF SPHERE,calculate_area,sphere
please i need the area of a prism,calculate_area,prism
please area parallelogram,calculate_area,parallelogram
please cube area please,calculate_area,cube
What's the area of this ellipse,calculate_area,ellipse
i want to i need the area of a prism,calculate_area,prism
please how big is a torus,calculate_area,torus
get the area of polygon,calculate_area,polygon
please tell me the area of cone,calculate_area,cone
please get the area of sphere,calculate_area,sphere
area of a parallelogram with side 69.4,calculate_area,parallelogram
Get the area of triangle,calculate_area,triangle
i want to i need the area of a cube,calculate_area,cube
i want to tell me the area of right triangle,calculate_area,right_triangle
what is the area of a rectangle,calculate_area,rectangle
i want to how big is a triangle,calculate_area,triangle
area of a cylinder with s = 82.5 please,calculate_area,cylinder
calculate the area of a polygon,calculate_area,polygon
calculate the area of a circle?,calculate_area,circle
can you tell me the area of parallelogram,calculate_area,parallelogram
can you tell me the area of trapezoid,calculate_area,trapezoid
i want to area circle,calculate_area,circle
find area of right triangle please,calculate_area,right_triangle
COMPUTE AREA FOR SPHERE,calculate_area,sphere
compute area for prism?,calculate_area,prism
how much space does a polygon cover?,calculate_area,polygon
area of a cylinder with 46.2 cm?,calculate_area,cylinder
Calculate the area of a cube,calculate_area,cube
Find area of parallelogram,calculate_area,parallelogram
i want to calculate square area,calculate_area,square
how  much  space  does  a  cube  cover,calculate_area,cube
please get the area of square,calculate_area,square
please what's the area of this torus,calculate_area,torus
please find area of rectangle,calculate_area,rectangle
please area square,calculate_area,square
how big is a parallelogram,calculate_area,parallelogram
CALCULATE THE AREA OF A RIGHT TRIANGLE,calculate_area,right_triangle
please area of a sphere with width 13.4,calculate_area,sphere
What's the area of this pyramid,calculate_area,pyramid
WHAT IS THE AREA OF A RECTANGULAR PRISM,calculate_area,rectangular_prism
i want to area rectangle,calculate_area,rectangle
i need the area of a torus?,calculate_area,torus
please area of a prism with base 63.8,calculate_area,prism
please what is the area of a polygon,calculate_area,polygon
i need the area of a triangle,calculate_area,triangle
can you calculate pyramid area,calculate_area,pyramid
i want to area of a parallelogram with 67.4 units,calculate_area,parallelogram
can you i need the area of a cone,calculate_area,cone
please calculate triangle area,calculate_area,triangle
Find the area,calculate_area,
please how big is a torus,calculate_area,torus
what's the area of this cylinder?,calculate_area,cylinder
can you cube area please,calculate_area,cube
tell me the area of rectangular prism please,calculate_area,rectangular_prism
CALCULATE PARALLELOGRAM AREA,calculate_area,parallelogram
Area torus,calculate_area,torus
area of a circle with radius of 57.0?,calculate_area,circle
find the area please,calculate_area,
calculate the area of a pyramid please,calculate_area,pyramid
please what's the area of this torus,calculate_area,torus
can you how big is a sphere,calculate_area,sphere
AREA OF A SQUARE WITH BASE 25.7,calculate_area,square
can you compute area for cube,calculate_area,cube
area  sphere,calculate_area,sphere
find  area  of  triangle,calculate_area,triangle
how big is a trapezoid please,calculate_area,trapezoid
Get the area of torus,calculate_area,torus
Get the area of pyramid,calculate_area,pyramid
i  need  the  area  of  a  cube,calculate_area,cube
WHAT'S THE AREA OF THIS RECTANGLE,calculate_area,rectangle
can you calculate parallelogram area,calculate_area,parallelogram
circle area please,calculate_area,circle
What's the area of this circle,calculate_area,circle
i want to calculate the area of a right triangle,calculate_area,right_triangle
can you calculate the area of a cube,calculate_area,cube
Area trapezoid,calculate_area,trapezoid
can you find the area,calculate_area,
calculate prism area,calculate_area,prism
compute  area  for  right  triangle,calculate_area,right_triangle
